Protein_name	fold_change
Carbonyl reductase [NADPH] 3	1.08831675
Deoxycytidine kinase	0.59381025
Fumarylacetoacetate hydrolase domain-containing protein 2A	0.5438282
2-oxoglutarate dehydrogenase, mitochondrial	0.52913075
N-acetyl-D-glucosamine kinase	0.69329025
Cytosolic non-specific dipeptidase	0.63673325
V-type proton ATPase subunit B, brain isoform	0.34132825
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	0.39577595
Long-chain-fatty-acid--CoA ligase 3	0.30221225
Glycogenin-1	0.57535225
Carbonyl reductase [NADPH] 1	0.70019025
Alcohol dehydrogenase [NADP(+)]	0.39603825
Superoxide dismutase	1.06477325
Carnitine O-acetyltransferase	0.53257925
T1-TrpRS	1.06503915
[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial	0.33116675
Glutathione S-transferase omega-1	0.65309295
Thioredoxin-related transmembrane protein 4	0.57893725
Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	0.3717395
ERO1-like protein alpha	0.36244525
V-type proton ATPase catalytic subunit A	0.21863075
Hydroxymethylglutaryl-CoA lyase, mitochondrial	0.51543225
Inorganic pyrophosphatase 2, mitochondrial	0.36826975
Fructose-bisphosphate aldolase	0.50284575
Very-long-chain enoyl-CoA reductase	0.24424275
S-formylglutathione hydrolase	0.33386225
Glutathione peroxidase	-0.13743275
Mitochondrial fission 1 protein	0.48445425
Probable cytosolic iron-sulfur protein assembly protein CIAO1	0.15600075
V-type proton ATPase subunit E 1	0.41538625
Glutathione S-transferase kappa 1	0.37972325
Citrate synthase	0.12851525
Alpha-enolase	0.35086525
Dehydrogenase/reductase SDR family member 4	0.58853485
Glucose-6-phosphate 1-dehydrogenase	0.15294375
NADH-cytochrome b5 reductase 3	0.11908175
Phosphoglycerate kinase 1	0.25797005
Sulfide:quinone oxidoreductase, mitochondrial	0.79002605
Pyridoxal kinase	0.34869025
Glycerol-3-phosphate dehydrogenase [NAD(+)]	0.45294825
Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	0.35251825
Maleylacetoacetate isomerase	0.70121325
NADH-cytochrome b5 reductase 1	0.50882725
Adenosine kinase	0.10401575
Persulfide dioxygenase ETHE1, mitochondrial	0.40163216
