#queryIndex	queryItem	stringId	preferredName	annotation
1	Proteasome activator complex subunit 1	9606.ENSP00000372155	PSME1	Proteasome activator complex subunit 1; Implicated in immunoproteasome assembly and required for efficient antigen processing. The PA28 activator complex enhances the generation of class I binding peptides by altering the cleavage pattern of the proteasome.
2	Beta-2-microglobulin	9606.ENSP00000497910	B2M	Beta-2-microglobulin form pI 5.3; Component of the class I major histocompatibility complex (MHC). Involved in the presentation of peptide antigens to the immune system. Exogenously applied M.tuberculosis EsxA or EsxA-EsxB (or EsxA expressed in host) binds B2M and decreases its export to the cell surface (total protein levels do not change), probably leading to defects in class I antigen presentation. Belongs to the beta-2-microglobulin family.
3	Tapasin	9606.ENSP00000404833	TAPBP	Tapasin; Involved in the association of MHC class I with transporter associated with antigen processing (TAP) and in the assembly of MHC class I with peptide (peptide loading).
4	Inactive tyrosine-protein kinase 7	9606.ENSP00000418754	PTK7	Inactive tyrosine-protein kinase 7; Inactive tyrosine kinase involved in Wnt signaling pathway. Component of both the non-canonical (also known as the Wnt/planar cell polarity signaling) and the canonical Wnt signaling pathway. Functions in cell adhesion, cell migration, cell polarity, proliferation, actin cytoskeleton reorganization and apoptosis. Has a role in embryogenesis, epithelial tissue organization and angiogenesis. Belongs to the protein kinase superfamily. Tyr protein kinase family. Insulin receptor subfamily.
5	Antigen peptide transporter 2	9606.ENSP00000364032	TAP2	Antigen peptide transporter 2; Involved in the transport of antigens from the cytoplasm to the endoplasmic reticulum for association with MHC class I molecules. Also acts as a molecular scaffold for the final stage of MHC class I folding, namely the binding of peptide. Nascent MHC class I molecules associate with TAP via tapasin. Inhibited by the covalent attachment of herpes simplex virus ICP47 protein, which blocks the peptide-binding site of TAP. Inhibited by human cytomegalovirus US6 glycoprotein, which binds to the lumenal side of the TAP complex and inhibits peptide translocation [...] 
6	Nucleoredoxin	9606.ENSP00000337443	NXN	Nucleoredoxin; Functions as a redox-dependent negative regulator of the Wnt signaling pathway, possibly by preventing ubiquitination of DVL3 by the BCR(KLHL12) complex. May also function as a transcriptional regulator act as a regulator of protein phosphatase 2A (PP2A) (By similarity). Belongs to the nucleoredoxin family.
7	Signal transducer and activator of transcription	9606.ENSP00000315768	STAT2	Signal transducer and activator of transcription 2; Signal transducer and activator of transcription that mediates signaling by type I IFNs (IFN-alpha and IFN-beta). Following type I IFN binding to cell surface receptors, Jak kinases (TYK2 and JAK1) are activated, leading to tyrosine phosphorylation of STAT1 and STAT2. The phosphorylated STATs dimerize, associate with IRF9/ISGF3G to form a complex termed ISGF3 transcription factor, that enters the nucleus. ISGF3 binds to the IFN stimulated response element (ISRE) to activate the transcription of interferon stimulated genes, which drive [...] 
8	Cytosol aminopeptidase	9606.ENSP00000226299	LAP3	Cytosol aminopeptidase; Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N- terminal amino acids from various peptides; Belongs to the peptidase M17 family.
9	Proteasome subunit beta type-5	9606.ENSP00000355325	PSMB5	Proteasome subunit beta type-5; Component of the 20S core proteasome complex involved in the proteolytic degradation of most intracellular proteins. This complex plays numerous essential roles within the cell by associating with different regulatory particles. Associated with two 19S regulatory particles, forms the 26S proteasome and thus participates in the ATP- dependent degradation of ubiquitinated proteins. The 26S proteasome plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins that could impair cellular functions, and by removing pro [...] 
10	Antigen peptide transporter 1	9606.ENSP00000346206	TAP1	Antigen peptide transporter 1; Involved in the transport of antigens from the cytoplasm to the endoplasmic reticulum for association with MHC class I molecules. Also acts as a molecular scaffold for the final stage of MHC class I folding, namely the binding of peptide. Nascent MHC class I molecules associate with TAP via tapasin. Inhibited by the covalent attachment of herpes simplex virus ICP47 protein, which blocks the peptide-binding site of TAP. Inhibited by human cytomegalovirus US6 glycoprotein, which binds to the lumenal side of the TAP complex and inhibits peptide translocation [...] 
